pmcid_orig,version_orig,flesch_kincaid_orig,reading_ease_orig,word_count_orig,pmcid_300,version_300,flesch_kincaid_300,reading_ease_300,word_count_300,pmcid,delta_flesch_kincaid,delta_reading_ease,delta_word_count
10314755,original,15.636920529801326,27.778250551876425,302,10314755,300,12.623742529880477,32.49784487051795,251,10314755,-3.013177999920849,4.719594318641526,-51
10330108,original,11.917965952965954,30.58529571779576,259,10330108,300,11.8176833976834,32.30276705276705,259,10330108,-0.10028255528255414,1.7174713349712931,0
10338899,original,16.596869565217393,8.843782608695705,276,10338899,300,12.409914028098136,29.61914447473268,251,10338899,-4.186955537119257,20.775361866036974,-25
10344543,original,14.176345514950167,37.18965116279071,860,10344543,300,13.681626373626376,29.388373626373664,273,10344543,-0.4947191413237917,-7.801277536417047,-587
10344563,original,15.664115457928656,19.852262866479094,479,10344563,300,15.836516638225259,14.139280076791806,293,10344563,0.17240118029660323,-5.712982789687288,-186
10344633,original,16.536709585121603,22.613571769194124,233,10344633,300,12.166329694323142,28.229843886462902,229,10344633,-4.370379890798461,5.616272117268778,-4
10364515,original,10.623673954372624,38.4141928073511,263,10364515,300,11.169675324675328,37.3727272727273,264,10364515,0.5460013703027045,-1.0414655346237964,1
10364680,original,12.25385148918809,31.394228886168946,258,10364680,300,12.6636581027668,26.801574110671964,253,10364680,0.4098066135787093,-4.592654775496982,-5
10364691,original,8.86324175824176,50.21925824175824,273,10364691,300,10.08211191107743,39.54593406593406,273,10364691,1.2188701528356702,-10.673324175824177,0
10364696,original,10.807307692307692,34.500192307692316,247,10364696,300,11.450850383631714,34.029315856777515,272,10364696,0.6435426913240221,-0.4708764509148011,25
10364723,original,14.7446013986014,23.311004662004677,286,10364723,300,14.21018372703412,18.316159230096247,254,10364723,-0.5344176715672795,-4.9948454319084306,-32
10364744,original,10.50095652173913,43.00786956521742,300,10364744,300,13.697645933014353,22.636574162679466,275,10364744,3.196689411275223,-20.371295402537953,-25
10364767,original,13.970172413793108,20.729568965517245,232,10364767,300,15.53711843711844,13.439230769230761,234,10364767,1.5669460233253325,-7.290338196286484,2
10364858,original,10.621190476190478,43.156865079365105,245,10364858,300,10.709635854341737,39.90764705882356,255,10364858,0.08844537815125975,-3.249218020541548,10
10364863,original,9.037491749174915,50.25632563256329,303,10364863,300,9.982945454545458,42.29841818181819,264,10364863,0.945453705370543,-7.957907450745097,-39
10364871,original,13.340366541353387,29.029797932330865,266,10364871,300,13.02725371120108,26.104515294646887,494,10364871,-0.3131128301523063,-2.925282637683978,228
10364907,original,10.785094339622642,38.71640461215935,318,10364907,300,10.304488583046606,42.71278229590243,278,10364907,-0.4806057565760362,3.996377683743077,-40
10364908,original,10.236628228782287,41.782814421894244,271,10364908,300,11.897291666666668,35.09631944444445,256,10364908,1.6606634378843808,-6.686494977449797,-15
