pmcid_orig,version_orig,flesch_kincaid_orig,reading_ease_orig,word_count_orig,has_full_text_orig,pmcid_250,version_250,flesch_kincaid_250,reading_ease_250,word_count_250,has_full_text_250,pmcid,delta_flesch_kincaid,delta_reading_ease,delta_word_count
10344543,original,14.176345514950167,37.18965116279071,860,True,10344543,250,13.84326086956522,29.951268115942042,230,True,10344543,-0.33308464538494675,-7.238383046848668,-630
10344563,original,15.664115457928656,19.852262866479094,479,True,10344563,250,14.12636479591837,21.05689413265307,245,True,10344563,-1.5377506620102857,1.2046312661739762,-234
10344633,original,16.536709585121603,22.613571769194124,233,True,10344633,250,11.004841088227817,35.56814645308927,207,True,10344633,-5.531868496893786,12.954574683895146,-26
10364515,original,10.623673954372624,38.4141928073511,263,True,10364515,250,10.698239675016929,36.25751974723542,211,True,10364515,0.07456572064430489,-2.156673060115679,-52
10364680,original,12.25385148918809,31.394228886168946,258,True,10364680,250,12.492903385223627,25.46194959229061,213,True,10364680,0.23905189603553723,-5.932279293878338,-45
10364691,original,8.86324175824176,50.21925824175824,273,True,10364691,250,9.775011123470524,40.212258064516135,248,True,10364691,0.9117693652287642,-10.007000177242105,-25
10364696,original,10.807307692307692,34.500192307692316,247,True,10364696,250,11.249414515525629,34.08312289562292,243,True,10364696,0.44210682321793726,-0.4170694120693952,-4
10364723,original,14.7446013986014,23.311004662004677,286,True,10364723,250,13.28426401546534,22.13736536868271,213,True,10364723,-1.4603373831360607,-1.173639293321969,-73
10364744,original,10.50095652173913,43.00786956521742,300,True,10364744,250,13.193010752688174,25.015071684587838,248,True,10364744,2.6920542309490436,-17.99279788062958,-52
10364767,original,13.970172413793108,20.729568965517245,232,True,10364767,250,15.009743589743593,14.166923076923098,195,True,10364767,1.0395711759504849,-6.562645888594147,-37
10364858,original,10.621190476190478,43.156865079365105,245,True,10364858,250,11.051293165039294,36.54749940462017,221,True,10364858,0.430102688848816,-6.609365674744936,-24
10364863,original,9.037491749174915,50.25632563256329,303,True,10364863,250,8.969585172109447,47.432850838481926,206,True,10364863,-0.0679065770654681,-2.8234747940813634,-97
10364871,original,13.340366541353387,29.029797932330865,266,True,10364871,250,18.675,-10.329999999999984,16,True,10364871,5.334633458646614,-39.35979793233085,-250
10364907,original,10.785094339622642,38.71640461215935,318,True,10364907,250,9.703666462293072,45.25402002861233,233,True,10364907,-1.0814278773295705,6.537615416452979,-85
10364908,original,10.236628228782287,41.782814421894244,271,True,10364908,250,13.000288335517695,29.591467889908273,218,True,10364908,2.763660106735408,-12.191346531985971,-53
10364922,original,12.588714285714286,24.756285714285752,224,True,10364922,250,12.817065217391306,21.756195652173943,240,True,10364922,0.2283509316770207,-3.000090062111809,16
10372755,original,11.449488388601566,37.30171661089142,519,True,10372755,250,9.88313888888889,40.90337500000004,225,True,10372755,-1.5663494997126755,3.6016583891086213,-294
10392959,original,0.0,0.0,0,True,10392959,250,12.962897384305837,20.190704225352164,213,True,10392959,12.962897384305837,20.190704225352164,213
10416337,original,15.308709677419355,22.116397849462373,310,True,10416337,250,14.35740987983979,19.352710280373856,214,True,10416337,-0.9512997975795656,-2.7636875690885176,-96
10416684,original,0.0,0.0,0,True,10416684,250,11.145332225913624,42.50889534883723,215,True,10416684,11.145332225913624,42.50889534883723,215
10416686,original,11.462563718140931,35.33924287856075,290,True,10416686,250,9.676445473251032,43.72108796296297,243,True,10416686,-1.7861182448898987,8.381845084402215,-47
10423790,original,14.898493647912886,15.433239564428334,290,True,10423790,250,14.962819444444445,12.833562500000028,225,True,10423790,0.06432579653155912,-2.599677064428306,-65
10481925,original,11.322841719683826,39.475228455754774,273,True,10481925,250,9.96277214202107,42.49810280920798,233,True,10481925,-1.360069577662756,3.0228743534532043,-40
10492188,original,12.294079250720465,37.822444524495694,347,True,10492188,250,10.773333333333337,41.17552730696801,236,True,10492188,-1.5207459173871278,3.3530827824723133,-111
10510966,original,16.22816091954023,13.149597701149446,174,True,10510966,250,14.304873949579832,18.172773109243735,245,True,10510966,-1.9232869699603974,5.023175408094289,71
10556815,original,18.73262453531599,-7.29967534076826,269,True,10556815,250,14.144994219653181,14.192250481695595,173,True,10556815,-4.587630315662807,21.491925822463855,-96
10566339,original,20.022727272727277,-9.305909090909097,110,True,10566339,250,12.283869047619053,29.158353174603207,224,True,10566339,-7.738858225108224,38.4642622655123,114
10570810,original,16.341831357048747,22.589466403162078,276,True,10570810,250,12.240303030303032,29.074898989898998,220,True,10570810,-4.101528326745715,6.48543258673692,-56
10586998,original,14.28800959232614,20.13298960831338,278,True,10586998,250,11.579323126510879,34.98954875100728,219,True,10586998,-2.708686465815262,14.856559142693897,-59
10609712,original,10.412000000000003,41.4308813559322,354,True,10609712,250,8.066290322580645,54.22039702233255,248,True,10609712,-2.3457096774193573,12.789515666400348,-106
10631503,original,11.604074074074074,29.67833333333334,270,True,10631503,250,12.35082251082251,23.514935064935088,210,True,10631503,0.7467484367484367,-6.163398268398254,-60
10638529,original,9.4965306122449,51.91275510204082,294,True,10638529,250,9.048803708729082,46.46009837177749,201,True,10638529,-0.447726903515818,-5.452656730263328,-93
10638544,original,11.669683520599254,35.17463764044945,267,True,10638544,250,9.95,39.89310951760106,236,True,10638544,-1.7196835205992542,4.7184718771516145,-31
